188.637,11.1
188.962,11.1
189.286,11.1
189.611,13
189.936,14.7
190.26,14.1
190.585,12.1
190.91,11.2
191.235,10.9
191.56,9.5
191.884,9.4
192.209,8.1
192.534,10
192.859,10
193.184,10.1
193.51,9.8
193.835,10.8
194.16,8.7
194.485,10
194.81,11.3
195.136,12.5
195.461,13.8
195.786,14.7
196.112,14.7
196.437,14.8
196.763,16.7
197.088,16.9
197.414,19.4
197.739,19.7
198.065,19.9
198.391,18.6
198.716,17.8
199.042,18.1
199.368,18.1
199.694,17.9
200.02,18
200.346,18.3
200.672,15.9
200.997,15.8
201.324,14.8
201.65,14.1
201.976,15.4
202.302,15.9
202.628,15
202.954,16.8
203.28,18.6
203.607,18.1
203.933,18.8
204.259,20.7
204.586,19.5
204.912,19
205.239,13.8
205.565,15.6
205.892,16.7
206.218,17.7
206.545,17.6
206.872,21.8
207.198,19
207.525,18.6
207.852,18.9
208.179,18.4
208.505,18.3
208.832,20.2
209.159,17.6
209.486,14.5
209.813,15.5
210.14,15.3
210.467,14.5
210.794,15.3
211.122,17.8
211.449,18
211.776,17.1
212.103,15.6
212.431,13.5
212.758,12.1
213.085,13.4
213.413,14.7
213.74,13.8
214.068,15.2
214.395,15.4
214.723,10.3
215.05,9
215.378,8.1
215.706,7
216.033,8.6
216.361,10.8
216.689,11.7
217.017,12.7
217.345,12.6
217.672,10.9
218,9.5
218.328,8.6
218.656,10.4
218.984,11.2
219.313,11.1
219.641,12.8
219.969,12.5
220.297,11.5
220.625,12.5
220.954,11.5
221.282,11.6
221.61,13
221.939,12.2
222.267,10.4
222.595,13.7
222.924,11.4
223.252,11.6
223.581,12.8
223.91,11.9
224.238,11.3
224.567,12
224.896,10.9
225.224,9.5
225.553,12
225.882,10.1
226.211,12.2
226.54,10.3
226.869,9.9
227.198,9
227.527,8.4
227.856,6.7
228.185,7.5
228.514,7.5
228.843,6.1
229.172,6.8
229.502,6.2
229.831,6.4
230.16,7.2
230.49,8.1
230.819,7.6
231.148,7.1
231.478,6.5
231.807,5.9
232.137,4.8
232.466,4.9
232.796,6
233.126,7.5
233.455,7.6
233.785,7.2
234.115,6.9
234.445,4.8
234.774,1.8
235.104,2.5
235.434,1.9
235.764,3.3
236.094,4.3
236.424,6.5
236.754,6.2
237.084,7.6
237.414,7.1
237.744,7.8
238.075,8.1
238.405,7.1
238.735,8.2
239.065,7.9
239.396,7.7
239.726,5.6
240.057,7.7
240.387,5.2
240.717,4.4
241.048,3.4
241.379,5.1
241.709,4.1
242.04,5
242.37,3.1
242.701,0.6
243.032,1
243.363,2.3
243.693,1.2
244.024,1.8
244.355,4.6
244.686,3.2
245.017,0
245.348,2.1
245.679,3
246.01,4.2
246.341,5.9
246.672,9.8
247.003,9
247.335,8.4
247.666,7.1
247.997,5.8
248.329,3.2
248.66,0.6
248.991,2.7
249.323,2.8
249.654,1.9
249.986,2.7
250.317,4.4
250.649,2.2
250.98,2.6
251.312,3.1
251.644,1.5
251.975,-0.1
252.307,0.2
252.639,1.6
252.971,0.2
253.303,0
253.635,2.2
253.966,2
254.298,0.3
254.63,2.1
254.962,2.3
255.295,4.3
255.627,5.3
255.959,4.2
256.291,4.7
256.623,4.8
256.955,2.5
257.288,3.1
257.62,3.7
257.952,0.6
258.285,2.6
258.617,4.5
258.95,3.9
259.282,5.9
259.615,9.6
259.947,10.2
260.28,6.8
260.613,7.3
260.945,6.5
261.278,6
261.611,2.1
261.944,4.5
262.276,6.6
262.609,5.8
262.942,3.9
263.275,5.2
263.608,5.6
263.941,5.1
264.274,4.9
264.607,5.9
264.94,6.1
265.273,4.3
265.607,2
265.94,1.1
266.273,0.5
266.606,1
266.94,-0.4
267.273,-1.9
267.606,-2.1
267.94,-0.1
268.273,-0.5
268.607,3.9
268.94,5.6
269.274,7
269.607,6.7
269.941,7.8
270.275,3.4
270.609,5.6
270.942,4.9
271.276,5.1
271.61,4.8
271.944,6.2
272.278,4.1
272.612,5.3
272.945,3.4
273.279,3.7
273.614,3.4
273.948,3.6
274.282,1.4
274.616,1.7
274.95,1.1
275.284,3.7
275.618,3.6
275.953,6.5
276.287,8.5
276.621,8.8
276.956,8.7
277.29,8.9
277.625,8.4
277.959,9.6
278.294,10
278.628,7.9
278.963,8
279.297,8.6
279.632,6.7
279.967,6.4
280.301,6.4
280.636,6
280.971,4.5
281.306,4.7
281.641,2.7
281.976,1.7
282.311,3.2
282.646,3.6
282.981,2
283.316,2.7
283.651,4.2
283.986,3.5
284.321,4.4
284.656,5.7
284.991,6
285.327,8.4
285.662,7.5
285.997,7.3
286.333,8.7
286.668,7.8
287.003,6.5
287.339,7.1
287.674,7.3
288.01,6.6
288.346,7.5
288.681,6.7
289.017,6.9
289.352,7.3
289.688,7.7
290.024,7.8
290.36,7
290.695,7.4
291.031,6.7
291.367,7.5
291.703,5.4
292.039,7.1
292.375,7.8
292.711,7.6
293.047,4.6
293.383,8.3
293.719,9.3
294.055,8.1
294.392,8.3
294.728,8.6
295.064,8
295.4,7
295.737,8.1
296.073,6.9
296.41,7.9
296.746,7.4
297.082,6.4
297.419,6
297.755,6
298.092,7.1
298.429,8.8
298.765,8.2
299.102,8.4
299.439,11.3
299.775,8.5
300.112,5.7
300.449,4.9
300.786,4.4
301.123,1
301.46,1.1
301.797,3.1
302.134,4.6
302.471,4.8
302.808,6.6
303.145,8.2
303.482,8.2
303.819,8.4
304.156,6.6
304.493,6.5
304.831,5.7
305.168,7.6
305.505,7.6
305.843,9
306.18,7.4
306.517,10.7
306.855,9.6
307.192,10
307.53,10.9
307.867,12.9
308.205,10.1
308.543,8.9
308.88,8
309.218,7.4
309.556,7.2
309.894,7.8
310.231,7.5
310.569,6.9
310.907,6.3
311.245,4.7
311.583,6.2
311.921,5.4
312.259,4.4
312.597,6.3
312.935,7.5
313.273,6.6
313.611,10.4
313.949,13.1
314.288,11.2
314.626,10.3
314.964,9.6
315.302,8.8
315.641,8.4
315.979,9.8
316.317,9.9
316.656,10
316.994,8.2
317.333,9.2
317.671,9.1
318.01,11.4
318.349,12.4
318.687,14.2
319.026,14.1
319.365,11.8
319.703,9.8
320.042,8.3
320.381,6.3
320.72,5
321.059,8.6
321.398,10.2
321.737,9.2
322.076,9.2
322.415,8.9
322.754,6.9
323.093,4.8
323.432,7
323.771,6.2
324.11,7.6
324.449,8.1
324.789,9.6
325.128,10
325.467,12.5
325.806,9.4
326.146,10.3
326.485,10
326.825,10.9
327.164,9.3
327.504,11.1
327.843,8.7
328.183,10.8
328.522,8.8
328.862,10.8
329.202,11.1
329.541,15.8
329.881,13.7
330.221,12.8
330.561,14
330.901,15.8
331.24,12.8
331.58,12.7
331.92,12.9
332.26,8.1
332.6,9.5
332.94,8.9
333.28,9.6
333.621,9.8
333.961,12.8
334.301,10.7
334.641,10
334.981,12.4
335.322,13.3
335.662,12.5
336.002,12.3
336.343,13.4
336.683,9.3
337.023,10.7
